MC10001,AnonCard,,,,13.3
MC10002,AnonCard,,,,12.8
MC10003,BasicCard,Natasha Romanov,blackwidow@avengers.team,5200.0,78.0
MC10004,BasicCard,Steve Rogers,captain_a@avengers.team,1420.0,21.3
MC10005,PremiumCard,Tony Stark,ironman@avengers.team,9050.0,271.5
MC10006,BasicCard,Bruce Banner,hulk@avengers.team,1710.0,25.65
MC10007,PremiumCard,Nick Fury,nick@shield.com,1670.0,50.1
MC10008,AnonCard,,,,15.5
MC10009,AnonCard,,,,0.0
MC10010,BasicCard,Hank Pym,ants@avengers.team,0.0,0.0
MC10011,BasicCard,Peter Parker,spidey@avengers.team,0.0,0.0
MC10012,PremiumCard,Danny Rand,danny@randcorp.com,8120.0,93.6
MC10013,PremiumCard,Professor Charles Xavier,x@xmen.com,1240368.0,47.1
MC10014,BasicCard,Matthew Murdock,thedevil@hellskitchen.com,666.0,0.0
MC10015,BasicCard,Thor Odinson,thor@asgard.com,9000.0,0.0
MC10016,BasicCard,Clint Barton,better_than_arrow@marvel.com,500.0,0.0
MC10017,AnonCard,,,,23.200000000000003
MC10018,PremiumCard,Oliver Queen,the_best_arrow_user@dc.comics,3950.0,73.5
MC10019,BasicCard,Loki,the-baddest-dude@asgard.com,0.0,0.0
MC10020,AnonCard,,,,0.0
MC10021,AnonCard,,,,0.0
MC10022,PremiumCard,Pepper Potts,ceo@starkindustries.com,1987234.0,0.0
MC10023,AnonCard,,,,0.0
MC10024,AnonCard,,,,0.0
MC10025,PremiumCard,King T'Challa,tokenman@wakanda.africa,105023.0,0.0
MC10026,AnonCard,,,,0.0
MC10027,BasicCard,Logan,wolverine@xmen.com,0.0,0.0
