2017-10-10T02:42:46.035Z,MC10002,AnonCard,,,5.7000,
2017-10-10T02:42:46.035Z,MC10024,AnonCard,,,0.0000,
2017-10-10T02:42:46.036Z,MC10001,BasicCard,Natasha Romanov,blackwidow@avengers.team,5.4000,360.0000
2017-10-10T02:42:46.037Z,MC10023,AnonCard,,,0.0000,
2017-10-10T02:42:46.037Z,MC10004,BasicCard,Steve Rogers,captain_a@avengers.team,14.5500,970.0000
2017-10-10T02:42:46.038Z,MC10026,AnonCard,,,0.0000,
2017-10-10T02:42:46.039Z,MC10003,AnonCard,,,18.4000,
2017-10-10T02:42:46.039Z,MC10025,PremiumCard,King T'Challa,tokenman@wakanda.africa,0.0000,0.0000
2017-10-10T02:42:46.040Z,MC10020,AnonCard,,,0.0000,
2017-10-10T02:42:46.040Z,MC10022,PremiumCard,Pepper Potts,ceo@starkindustries.com,150.0000,5000.0000
2017-10-10T02:42:46.041Z,MC10021,AnonCard,,,0.0000,
2017-10-10T02:42:46.041Z,MC10017,AnonCard,,,12.6000,
2017-10-10T02:42:46.042Z,MC10016,BasicCard,Clint Barton,better_than_arrow@marvel.com,7.5000,500.0000
2017-10-10T02:42:46.042Z,MC10019,BasicCard,Loki,the-baddest-dude@asgard.com,0.0000,0.0000
2017-10-10T02:42:46.043Z,MC10018,PremiumCard,Oliver Queen,the_best_arrow_user@dc.comics,75.3000,2510.0000
2017-10-10T02:42:46.044Z,MC10013,PremiumCard,Professor Charles Xavier,x@xmen.com,50.4000,1680.0000
2017-10-10T02:42:46.044Z,MC10012,PremiumCard,Danny Rand,danny@randcorp.com,186.3000,6210.0000
2017-10-10T02:42:46.045Z,MC10015,BasicCard,Thor Odinson,thor@asgard.com,135.0000,9000.0000
2017-10-10T02:42:46.045Z,MC10014,BasicCard,Matthew Murdock,thedevil@hellskitchen.com,9.9900,666.0000
2017-10-10T02:42:46.046Z,MC10030,BasicCard,Luke Cage,unbreakable@defenders.marvel,0.0000,0.0000
2017-10-10T02:42:46.046Z,MC10011,BasicCard,Peter Parker,spidey@avengers.team,0.0000,0.0000
2017-10-10T02:42:46.046Z,MC10010,BasicCard,Hank Pym,ants@avengers.team,0.0000,0.0000
2017-10-10T02:42:46.047Z,MC10009,AnonCard,,,0.0000,
2017-10-10T02:42:46.047Z,MC10006,BasicCard,Bruce Banner,hulk@avengers.team,12.4500,830.0000
2017-10-10T02:42:46.048Z,MC10028,AnonCard,,,0.0000,
2017-10-10T02:42:46.048Z,MC10005,PremiumCard,Tony Stark,ironman@avengers.team,120.0000,4000.0000
2017-10-10T02:42:46.049Z,MC10027,BasicCard,Logan,wolverine@xmen.com,3.0000,200.0000
2017-10-10T02:42:46.049Z,MC10008,AnonCard,,,6.8000,
2017-10-10T02:42:46.050Z,MC10007,PremiumCard,Nick Fury,nick@shield.com,32.1000,1070.0000
2017-10-10T02:42:46.050Z,MC10029,AnonCard,,,0.0000,
