MC10001,AnonCard,,,,4.6000000000000005
MC10002,AnonCard,,,,26.9
MC10003,BasicCard,Natasha Romanov,blackwidow@avengers.team,5700.0,85.5
MC10004,BasicCard,Steve Rogers,captain_a@avengers.team,2080.0,31.199999999999996
MC10005,PremiumCard,Tony Stark,ironman@avengers.team,8110.0,243.29999999999995
MC10006,BasicCard,Bruce Banner,hulk@avengers.team,1020.0,15.3
MC10007,PremiumCard,Nick Fury,nick@shield.com,2140.0,64.2
MC10008,AnonCard,,,,20.9
MC10009,AnonCard,,,,0.0
MC10010,BasicCard,Hank Pym,ants@avengers.team,0.0,0.0
MC10011,BasicCard,Peter Parker,spidey@avengers.team,0.0,0.0
MC10012,PremiumCard,Danny Rand,danny@randcorp.com,7020.0,60.599999999999994
MC10013,PremiumCard,Professor Charles Xavier,x@xmen.com,1239938.0,34.199999999999996
MC10014,BasicCard,Matthew Murdock,thedevil@hellskitchen.com,666.0,0.0
MC10015,BasicCard,Thor Odinson,thor@asgard.com,9000.0,0.0
MC10016,BasicCard,Clint Barton,better_than_arrow@marvel.com,500.0,0.0
MC10017,AnonCard,,,,32.800000000000004
MC10018,PremiumCard,Oliver Queen,the_best_arrow_user@dc.comics,3880.0,71.39999999999999
MC10019,BasicCard,Loki,the-baddest-dude@asgard.com,0.0,0.0
MC10020,AnonCard,,,,0.0
MC10021,AnonCard,,,,0.0
MC10022,PremiumCard,Pepper Potts,ceo@starkindustries.com,1987234.0,0.0
MC10023,AnonCard,,,,0.0
MC10024,AnonCard,,,,0.0
MC10025,PremiumCard,King T'Challa,tokenman@wakanda.africa,105023.0,0.0
MC10026,AnonCard,,,,0.0
MC10027,BasicCard,Logan,wolverine@xmen.com,0.0,0.0
